# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.1
#@/tick	6133
#@/user_id	fuermobai_archlinux_v1.0
a 	啊	c=53 d=2.0754 t=6133
bang zi 	棒子	c=1 d=0.005628 t=6133
bao 	包	c=1 d=0.00687406 t=6133
bao 	爆	c=1 d=1 t=1831
bao 	飽	c=1 d=1 t=4776
bao biao 	報表	c=2 d=0.657047 t=6133
bao chi 	保持	c=1 d=1 t=1998
bao gao 	報告	c=1 d=1 t=2566
bao ge zhao 	爆個照	c=1 d=1 t=1828
bao han 	包含	c=2 d=0.02535 t=6133
bao hu 	保護	c=0 d=0.0130029 t=6133
bao jia 	報價	c=0 d=0.1 t=4422
bao jia wen jian 	報價文件	c=1 d=1 t=4423
bao jing 	報警	c=4 d=1.28073 t=6133
bao jing xi tong 	報警系統	c=1 d=1 t=2249
bao kuo 	包括	c=1 d=0.0105672 t=6133
bao yu 	暴雨	c=1 d=1 t=3561
bao zhang 	保障	c=1 d=1 t=2534
bao zhao 	爆照	c=2 d=1.56295 t=1989
bei 	唄	c=3 d=0.465827 t=6133
bei 	被	c=10 d=0.467666 t=6133
bei fang 	北方	c=0 d=0.1 t=4664
bei fang cai 	北方菜	c=2 d=1.92312 t=4681
bei jing 	北京	c=1 d=1 t=3752
bei mei 	北美	c=3 d=2.87077 t=3507
bei zhan 	北站	c=1 d=0.865022 t=6133
bei zhu 	備註	c=1 d=0.0266491 t=6133
ben ke 	本科	c=1 d=0.618783 t=6133
ben qi 	本期	c=1 d=1 t=5862
ben qun 	本羣	c=1 d=1 t=2023
ben ren 	本人	c=1 d=1 t=1847
ben shen 	本身	c=2 d=0.0550605 t=6133
ben shi 	本事	c=1 d=1 t=4366
ben zhe 	奔着	c=1 d=1 t=4575
ben zhou 	本週	c=2 d=1.94649 t=3431
ben zhou si 	本週四	c=1 d=1 t=5610
bi 	比	c=4 d=0.339297 t=6133
bi ji ben 	筆記本	c=2 d=0.131335 t=6133
bi jiao 	比較	c=6 d=0.457126 t=6133
bi jing 	畢竟	c=5 d=1.18151 t=5600
bi li 	比例	c=1 d=1 t=4240
bi ru 	比如	c=1 d=0.0356146 t=6133
bi sai 	比賽	c=1 d=1 t=2202
bi xu 	必須	c=2 d=1.48919 t=4295
bi ye 	畢業	c=2 d=1.72979 t=5979
bi yun 	避孕	c=1 d=0.00384878 t=6133
bi yun yao 	避孕藥	c=2 d=0.00521194 t=6133
bian 	變	c=1 d=0.932394 t=6133
bian hua 	變化	c=4 d=0.292293 t=6133
bian ma 	編碼	c=2 d=1.99005 t=2830
bian yi 	編譯	c=1 d=1 t=4273
biao 	表	c=1 d=0.188247 t=6133
biao dian fu hao 	標點符號	c=1 d=1 t=4890
biao duan 	標段	c=3 d=0.183148 t=6133
biao qian 	標籤	c=1 d=1 t=3611
biao ti 	標題	c=1 d=1 t=3550
bie 	別	c=12 d=1.70589 t=6133
bie ji 	別急	c=1 d=0.519442 t=6133
bie nao 	別鬧	c=1 d=1 t=4547
bie ren 	別人	c=1 d=1 t=5315
bie ye 	別業	c=1 d=1 t=5978
bie zhao ji 	別着急	c=1 d=0.106992 t=6133
bing 	並	c=4 d=0.196912 t=6133
bing 	冰	c=3 d=1.00114 t=5765
bing dou jiang 	冰豆漿	c=1 d=1 t=3790
bing huan 	病患	c=1 d=0.344728 t=6133
bo yin 	播音	c=0 d=0.0280832 t=6133
bo yin zhuan ye 	播音專業	c=1 d=0.282239 t=6133
bo yuan 	博遠	c=0 d=0.1 t=2947
bu 	不	c=3 d=0.0324652 t=6133
bu 	部	c=3 d=1.02881 t=5057
bu bao zhao 	不爆照	c=1 d=1 t=1866
bu chi 	不吃	c=1 d=1.0644 t=4859
bu chu 	不出	c=1 d=1 t=3321
bu cuo 	不錯	c=5 d=0.585492 t=6133
bu da 	不打	c=1 d=1 t=2162
bu dong 	不懂	c=2 d=1.00097 t=6047
bu dou 	不都	c=1 d=1 t=2109
bu dou 	布兜	c=1 d=1 t=2108
bu duo 	不多	c=1 d=0.38868 t=6133
bu gei 	不給	c=2 d=0.0566988 t=6133
bu gou 	不夠	c=1 d=1 t=4281
bu guo 	不過	c=1 d=1 t=1802
bu hao 	不好	c=2 d=0.00396599 t=6133
bu hao zhao 	不好找	c=1 d=1 t=1885
bu hua qian 	不花錢	c=1 d=0.32628 t=6133
bu hui 	不會	c=3 d=0.856415 t=6133
bu ji de 	不記得	c=1 d=1 t=3288
bu jin 	不禁	c=1 d=1 t=4288
bu jiu 	不就	c=2 d=0.937067 t=6133
bu jiu ke yi 	不就可以	c=1 d=1 t=4472
bu jiu zhi dao 	不就知道	c=1 d=1 t=3762
bu ke wei 	不可爲	c=1 d=1 t=3650
bu men 	部門	c=1 d=0.647265 t=6133
bu ming bai 	不明白	c=1 d=1 t=2010
bu ming que 	不明確	c=1 d=0.0342181 t=6133
bu neng 	不能	c=6 d=0.0166489 t=6133
bu neng yong 	不能用	c=1 d=1 t=3608
bu qi 	不起	c=0 d=0.1 t=4901
bu qing chu 	不清楚	c=4 d=0.822835 t=6133
bu qu 	不去	c=1 d=1 t=5425
bu quan 	補全	c=5 d=4.58622 t=3648
bu ran 	不然	c=2 d=0.843665 t=6133
bu rang 	不讓	c=1 d=1 t=3777
bu shang 	不上	c=1 d=1 t=4639
bu shang ban 	不上班	c=1 d=1 t=4526
bu shi 	不是	c=19 d=1.36419 t=6133
bu shu 	部署	c=3 d=0.0507735 t=6133
bu shu ru 	不輸入	c=1 d=1 t=3884
bu shui 	不睡	c=1 d=0.00726274 t=6133
bu shuo 	不說	c=1 d=1 t=5446
bu shuo hua 	不說話	c=1 d=0.798516 t=6133
bu tao ren 	不討人	c=1 d=1 t=5205
bu tong 	不痛	c=1 d=0.00438308 t=6133
bu wai 	不外	c=0 d=0.1 t=5692
bu wai jia 	不外嫁	c=1 d=1 t=5693
bu wei 	部位	c=1 d=1 t=3676
bu wu 	不誤	c=1 d=1 t=5323
bu xi guan 	不習慣	c=1 d=1 t=4688
bu xi huan 	不喜歡	c=1 d=1 t=4913
bu xian 	佈線	c=1 d=1 t=2696
bu xiang 	不想	c=1 d=1 t=3241
bu xin 	不信	c=1 d=0.000316691 t=6133
bu xing 	不幸	c=1 d=1 t=5294
bu xing 	不行	c=3 d=1.21373 t=4478
bu xu yao 	不需要	c=2 d=0.600496 t=6133
bu yao 	不要	c=2 d=0.369723 t=6133
bu yao qian 	不要錢	c=1 d=1 t=4438
bu yi yang 	不一樣	c=1 d=1 t=3677
bu ying gai 	不應該	c=2 d=0.557106 t=6133
bu yong 	不用	c=2 d=0.0161752 t=6133
bu yu 	不予	c=1 d=1 t=5863
bu yuan 	不遠	c=1 d=0.88692 t=6133
bu zai 	不在	c=1 d=1 t=5674
bu zai yi 	不在意	c=1 d=1 t=5314
bu zheng chang 	不正常	c=1 d=0.00304273 t=6133
bu zhi dao 	不知道	c=6 d=0.476697 t=6133
bu zhun 	不準	c=1 d=0.00299743 t=6133
bu zi 	步子	c=0 d=0.1 t=2793
bu zi dao 	步子道	c=1 d=1 t=2794
cai 	才	c=3 d=0.110803 t=6133
cai 	菜	c=2 d=2.1528 t=4741
cai dan 	菜單	c=1 d=1 t=3593
cai ji 	採集	c=0 d=0.1 t=2440
cai liao 	材料	c=2 d=0.222854 t=6133
cai nuan 	採暖	c=1 d=0.631284 t=6133
cai shi 	纔是	c=1 d=1 t=5716
cai shuo 	才說	c=1 d=0.00400583 t=6133
cai zhe 	踩着	c=1 d=1 t=2133
can jia 	參加	c=1 d=1 t=2984
can kao 	參考	c=1 d=1 t=3571
can ku 	殘酷	c=1 d=0.00276698 t=6133
can ren 	殘忍	c=1 d=0.00273945 t=6133
can yu 	參與	c=1 d=0.644036 t=6133
cang ku 	倉庫	c=1 d=1 t=3869
cao 	操	c=2 d=1.00366 t=4346
cao 	曹	c=1 d=1 t=5788
cao 	草	c=1 d=1 t=4347
cao gao 	草稿	c=2 d=0.0771142 t=6133
cao ku 	草哭	c=1 d=1 t=3223
cao zong 	操縱	c=1 d=1 t=5790
cao zong 	曹總	c=1 d=1 t=5791
cao zuo 	操作	c=1 d=0.311923 t=6133
ce shi 	測試	c=6 d=0.0636326 t=6133
ce shi shi yan 	測試實驗	c=1 d=0.0166557 t=6133
ce shi shi yan shi 	測試實驗室	c=2 d=0.0275476 t=6133
ce suo 	廁所	c=1 d=0.231078 t=6133
ceng ceng 	層層	c=0 d=0.1 t=4712
ceng ceng 	蹭蹭	c=1 d=1 t=5775
cha 	差	c=1 d=1 t=5881
cha 	查	c=2 d=1.00009 t=5880
cha dian 	差點	c=2 d=0.00226541 t=6133
cha jian 	插件	c=1 d=1 t=3606
cha kan 	查看	c=2 d=1.24908 t=3861
cha shou 	查收	c=0 d=0.0164475 t=6133
cha xun 	查詢	c=2 d=1.43605 t=2728
chai 	拆	c=1 d=0.460704 t=6133
chang 	嚐	c=0 d=0.1 t=4826
chang jia 	長假	c=0 d=0.1 t=5181
chang jia qi 	長假期	c=1 d=1 t=5182
chang jing tou 	長鏡頭	c=1 d=1 t=2136
chang qi 	長期	c=0 d=0.000355287 t=6133
chang qi chi 	長期吃	c=1 d=0.00357068 t=6133
chang shi 	嘗試	c=1 d=1 t=4540
chang suo 	場所	c=0 d=0.1 t=2321
chang yi kou 	嚐一口	c=1 d=1 t=4827
chao guo 	超過	c=1 d=1 t=2002
chao jia 	吵架	c=1 d=1 t=5811
chao lai chao qu 	抄來抄去	c=1 d=0.362402 t=6133
chao shen 	超神	c=1 d=1 t=4892
chao zhang 	超障	c=3 d=1.28814 t=6133
chao zhang qing kuang 	超障情況	c=1 d=1 t=2369
chao zhang qu yu 	超障區域	c=1 d=1 t=2716
chao zhang wu 	超障物	c=2 d=1.17291 t=2717
che 	撤	c=1 d=0.0558548 t=6133
che hui 	撤回	c=1 d=0.276716 t=6133
che liang 	車輛	c=2 d=0.594975 t=6133
che liang di bu 	車輛底部	c=1 d=0.546074 t=6133
che liang guan li 	車輛管理	c=1 d=1 t=2303
che pi 	扯皮	c=1 d=1 t=5710
chen 	陳	c=2 d=0.253468 t=6133
chen xiao shou 	陳小手	c=1 d=0.12938 t=6133
chen xin 	陳昕	c=2 d=0.0689068 t=6133
chen yi xun 	陳奕迅	c=1 d=1 t=3663
cheng 	城	c=0 d=0.0287941 t=6133
cheng 	成	c=1 d=1 t=6021
cheng bao 	城堡	c=1 d=1.07445 t=3890
cheng du 	成都	c=3 d=0.0053622 t=6133
cheng gong 	成功	c=1 d=1 t=3208
cheng pin 	成品	c=2 d=1.00006 t=6107
cheng xu 	程序	c=0 d=0.1 t=2339
cheng yang qu 	城陽區	c=1 d=0.308819 t=6133
cheng yuan 	成員	c=1 d=1 t=3344
chi 	吃	c=14 d=1.16246 t=6133
chi 	馳	c=1 d=1.07788 t=5819
chi bu chi 	吃不吃	c=1 d=1 t=4772
chi cun 	尺寸	c=1 d=1 t=5715
chi fa 	吃法	c=3 d=2.89335 t=3962
chi fan 	吃飯	c=2 d=1.42956 t=5450
chi guo 	吃鍋	c=2 d=1.0007 t=4783
chi huo guo 	吃火鍋	c=1 d=1 t=4068
chi jiu 	持久	c=1 d=1 t=3952
chi kui 	吃虧	c=1 d=1 t=4296
chi shi tang 	吃食堂	c=1 d=1 t=5413
chi xu 	持續	c=1 d=1 t=2487
chi yao 	吃藥	c=1 d=0.00453924 t=6133
chong fa 	重發	c=1 d=1 t=5858
chong qing 	重慶	c=1 d=1 t=4704
chong xin 	重新	c=2 d=0.357007 t=6133
chong xin sheng cheng 	重新生成	c=1 d=1 t=3624
chu 	出	c=2 d=1.00001 t=5431
chu 	除	c=1 d=0.0101022 t=6133
chu de lai 	處得來	c=1 d=1 t=4908
chu gao 	初稿	c=2 d=0.142932 t=6133
chu hai 	出海	c=1 d=1 t=5155
chu lai 	出來	c=4 d=0.65863 t=6133
chu le 	除了	c=1 d=0.477114 t=6133
chu li hao 	處理好	c=1 d=1 t=1905
chu mei chu 	出沒出	c=1 d=1 t=3096
chu nv 	處女	c=1 d=1 t=4444
chu nv zuo 	處女座	c=3 d=2.82686 t=4901
chu qu 	出去	c=1 d=1 t=5063
chu ta 	除她	c=1 d=1 t=3767
chu wen ti 	出問題	c=1 d=0.0518188 t=6133
chu xi 	出息	c=1 d=0.246597 t=6133
chuan 	傳	c=2 d=1.00005 t=4140
chuan 	穿	c=1 d=0.995012 t=6133
chuan pu 	川普	c=1 d=1 t=4426
chuan qi 	傳奇	c=0 d=0.1 t=2211
chuan qi dui zhang 	傳奇隊長	c=1 d=1 t=2212
chuan shu 	傳輸	c=2 d=1.24293 t=2689
chuan zhe 	穿着	c=1 d=0.0934808 t=6133
chuang kou 	窗口	c=0 d=0.1 t=3588
chui 	吹	c=0 d=0.1 t=5144
chui bi 	吹比	c=1 d=1 t=2198
chui le 	吹了	c=1 d=1 t=4456
chui yi xia 	吹一下	c=1 d=1 t=5145
chun 	蠢	c=1 d=1 t=4332
chuo 	戳	c=1 d=1 t=5663
ci 	次	c=1 d=1 t=5432
ci 	此	c=1 d=0.0380066 t=6133
ci ji 	刺激	c=1 d=1 t=5843
ci ku 	詞庫	c=0 d=0.0955997 t=6133
ci shu 	次數	c=0 d=0.1 t=2801
ci zhi 	辭職	c=1 d=0.737123 t=6133
cong 	從	c=3 d=0.0665368 t=6133
cong bu 	從不	c=1 d=0.00481992 t=6133
cong lai 	從來	c=2 d=1.99501 t=5313
cong tou dao wei 	從頭到尾	c=1 d=1 t=4513
cong xiao 	從小	c=1 d=1 t=4819
cou huo 	湊或	c=1 d=1 t=4653
cun chu 	存儲	c=1 d=1 t=2472
cun zai 	存在	c=1 d=1 t=5526
cuo shi 	措施	c=1 d=1 t=2382
cuo wu 	錯誤	c=1 d=0.318224 t=6133
da 	大	c=6 d=0.512512 t=6133
da 	打	c=4 d=0.0157076 t=6133
da ban 	打板	c=0 d=0.1 t=3893
da ban ji 	打板機	c=1 d=1 t=3894
da ban nian 	大半年	c=1 d=0.0685632 t=6133
da bao 	打包	c=2 d=1.5886 t=3145
da chang 	大長	c=0 d=0.0298197 t=6133
da chang tui 	大長腿	c=2 d=0.651382 t=6133
da dao 	達到	c=1 d=1 t=2142
da die 	大爹	c=1 d=0.319819 t=6133
da duan 	打斷	c=1 d=1 t=3262
da gai 	大概	c=2 d=1.64404 t=5220
da gan jue 	大感覺	c=1 d=1 t=5130
da hai 	大海	c=1 d=1 t=5150
da hou 	大吼	c=0 d=0.1 t=1910
da hui 	大會	c=2 d=0.863379 t=6027
da hui yao qing han 	大會邀請函	c=1 d=1 t=6028
da jia 	大家	c=2 d=0.847894 t=6133
da jiao tang 	大教堂	c=1 d=0.985112 t=6133
da jie jie 	大姐姐	c=1 d=0.0584256 t=6133
da ju yuan 	大劇院	c=2 d=0.265803 t=6133
da kai 	打開	c=2 d=0.99005 t=6133
da ku 	打哭	c=1 d=1 t=1952
da lao 	大佬	c=0 d=0.000618889 t=6133
da ma 	打罵	c=1 d=0.0058577 t=6133
da men 	大門	c=1 d=1 t=5754
da mi 	大米	c=1 d=1 t=4851
da nan hai er 	大男孩兒	c=1 d=1 t=5624
da ting 	打聽	c=1 d=0.722527 t=6133
da tong 	大同	c=1 d=0.778801 t=6133
da wen jian 	大文件	c=1 d=1 t=4141
da xue 	大學	c=4 d=1.15809 t=6133
da yi 	打一	c=0 d=0.1 t=3925
da yi jia 	打一架	c=1 d=1 t=3926
da yi qiang 	打一槍	c=1 d=0.0590129 t=6133
da yin 	打印	c=5 d=1.00467 t=4462
da yu 	大於	c=1 d=1 t=3652
dai 	代	c=0 d=0.1 t=4222
dai 	帶	c=2 d=0.321422 t=6133
dai hui qu 	帶回去	c=1 d=1 t=2033
dai jia 	代價	c=1 d=1 t=3696
dai le 	待了	c=1 d=1 t=4628
dai shang 	帶上	c=1 d=0.184519 t=6133
dan 	但	c=1 d=1 t=4277
dan 	單	c=1 d=1 t=5945
dan 	淡	c=1 d=1 t=4683
dan ding 	但丁	c=3 d=1.1642 t=6133
dan mu biao 	單目標	c=1 d=1 t=2486
dan shi 	但是	c=4 d=1.02046 t=4696
dan wei 	單位	c=1 d=1 t=5490
dang 	當	c=3 d=1.01139 t=5426
dang chu 	當初	c=1 d=1 t=5906
dang dang 	凼凼	c=1 d=1 t=3005
dang di ren 	當地人	c=1 d=1 t=4727
dang ran 	當然	c=3 d=0.412714 t=6133
dang tian 	當天	c=1 d=0.0678809 t=6133
dang zhen 	當真	c=1 d=1 t=3797
dao 	到	c=23 d=1.06867 t=6133
dao 	道	c=1 d=0.301642 t=2793
dao bu shi 	倒不是	c=1 d=0.00548905 t=6133
dao chu 	到處	c=1 d=1 t=1839
dao di 	到底	c=1 d=1 t=4836
dao hang 	導航	c=1 d=1 t=2633
dao huo 	到貨	c=2 d=0.745784 t=6133
dao kou 	道口	c=3 d=1.71652 t=2602
dao kou che liang 	道口車輛	c=1 d=1 t=2537
dao kou lian dong 	道口聯動	c=1 d=1 t=2535
dao li 	道理	c=2 d=0.0829099 t=6133
dao shou 	到手	c=1 d=1 t=5435
dao zha kou 	道閘口	c=2 d=1.15803 t=2673
dao zhi 	導致	c=1 d=1 t=3604
de 	得	c=2 d=1.86936 t=4607
de 	的	c=260 d=9.46467 t=6133
de chu 	得出	c=1 d=0.491644 t=6133
deng 	等	c=6 d=2.25621 t=6133
deng guang 	燈光	c=1 d=1 t=2447
deng ji 	登機	c=1 d=1 t=2297
deng ji 	等級	c=0 d=0.0130029 t=6133
deng ji bao hu 	等級保護	c=1 d=0.130681 t=6133
deng li ping 	等李平	c=1 d=1 t=5996
deng li ping 	鄧黎萍	c=1 d=1 t=5997
deng lu 	登錄	c=2 d=1.00522 t=4204
deng zi 	凳子	c=1 d=0.628135 t=6133
di 	低	c=1 d=1 t=1807
di 	滴	c=1 d=1 t=5013
di 	第	c=1 d=1 t=5486
di bu 	底部	c=0 d=0.0543351 t=6133
di dian 	地點	c=1 d=1 t=5569
di er 	第二	c=3 d=0.0271172 t=6133
di er ge 	第二個	c=1 d=1 t=3814
di er mian 	第二麪	c=1 d=0.272532 t=6133
di er tian 	第二天	c=1 d=1 t=3562
di li 	地理	c=0 d=0.0763379 t=6133
di li xin xi 	地理信息	c=1 d=0.767206 t=6133
di liu ge 	第六個	c=1 d=1 t=3764
di san 	第三	c=0 d=0.1 t=3082
di san zuo zhe 	第三作者	c=1 d=1 t=3083
di tu 	地圖	c=2 d=0.313486 t=6133
di wei 	地位	c=0 d=0.000516939 t=6133
di ya 	低壓	c=0 d=0.1 t=2449
di ya pei dian 	低壓配電	c=1 d=1 t=2450
di yi ci 	第一次	c=2 d=1 t=5328
di yi qi 	第一期	c=2 d=1.93707 t=5794
di zhen 	地震	c=1 d=1 t=3496
dian 	電	c=1 d=0.0505393 t=6133
dian 	點	c=26 d=1.01481 t=6133
dian ci 	電磁	c=0 d=0.1 t=2343
dian ci huan jing 	電磁環境	c=3 d=1.63389 t=2724
dian er 	點兒	c=1 d=1 t=4434
dian hua 	電話	c=1 d=1 t=6070
dian wei 	點位	c=6 d=3.68279 t=5547
dian zi 	電子	c=3 d=0.0404542 t=6133
dian zi ban 	電子版	c=4 d=1.80654 t=5946
dian zi di tu 	電子地圖	c=1 d=1 t=2550
dian zi shu 	電子書	c=1 d=0.267135 t=6133
dian zi xun cha 	電子巡查	c=4 d=0.40657 t=6133
dian zi xun cha xi tong 	電子巡查系統	c=1 d=1 t=2271
diao diao yu 	釣釣魚	c=1 d=1 t=5157
diao du 	調度	c=0 d=0.083527 t=6133
die 	爹	c=1 d=1 t=5035
ding 	定	c=1 d=1 t=2730
ding ji 	定級	c=3 d=1.7667 t=6133
ding wei 	定位	c=2 d=0.102607 t=3993
ding zhi 	定製	c=4 d=1.00144 t=5744
diu 	丟	c=1 d=1 t=2165
dong 	動	c=1 d=1 t=4744
dong guo 	動過	c=1 d=1 t=4005
dong hai an 	東海岸	c=1 d=1 t=3487
dong hang 	東航	c=1 d=0.255381 t=6133
dong nan ya 	東南亞	c=1 d=0.00568459 t=6133
dong xi 	東西	c=3 d=0.0133666 t=6133
dong zhi 	東芝	c=1 d=0.0320647 t=6133
dong zuo 	動作	c=2 d=1.13332 t=4104
dou 	豆	c=1 d=1 t=3522
dou 	都	c=31 d=2.18046 t=6133
dou bi 	逗比	c=1 d=1 t=4334
dou mei 	都沒	c=1 d=1 t=1913
dou shi 	都是	c=8 d=0.971412 t=6133
dou wo 	逗我	c=1 d=1 t=5274
dou zhi 	豆汁	c=0 d=0.1 t=3804
dou zhi er 	豆汁兒	c=1 d=1 t=3805
du 	度	c=1 d=1 t=1812
du 	毒	c=1 d=0.00355287 t=6133
du pin 	毒品	c=1 d=1 t=5216
dui 	對	c=12 d=1.41385 t=6133
dui 	懟	c=2 d=1.85214 t=2226
dui bi 	對比	c=2 d=0.382343 t=6133
dui bu dui 	對不對	c=1 d=1 t=5279
dui gong 	對工	c=0 d=0.1 t=5942
dui gong zhuan zhang 	對工轉賬	c=1 d=1 t=5943
dui jie 	對接	c=1 d=0.280832 t=6133
dui jie hui yi 	對接會議	c=1 d=1 t=5615
dui kang 	對抗	c=1 d=0.00265848 t=6133
dui mian 	對面	c=2 d=1.99005 t=3297
dui shen ti 	對身體	c=1 d=0.00394621 t=6133
dui ying 	對應	c=1 d=0.0347352 t=6133
dui zhang 	隊長	c=0 d=0.1 t=2211
dun 	頓	c=0 d=0.1 t=4776
duo 	多	c=7 d=0.914309 t=6133
duo gao 	多高	c=1 d=1 t=4942
duo jie 	多節	c=0 d=0.1 t=2522
duo jie dian 	多節點	c=1 d=1 t=2523
duo jin cheng 	多進程	c=1 d=0.275271 t=6133
duo mu biao 	多目標	c=1 d=1 t=2482
duo qu yu 	多區域	c=1 d=1 t=2477
duo shao 	多少	c=1 d=1 t=2966
duo shao nian 	多少年	c=1 d=1 t=2146
duo sui 	剁碎	c=1 d=1 t=4101
duo xian cheng 	多線程	c=1 d=0.27665 t=6133
duo xue xi 	多學習	c=1 d=0.514274 t=6133
duo zhu yi an quan 	多注意安全	c=1 d=1 t=5076
e le 	餓了	c=1 d=0.477114 t=6133
e si 	餓死	c=1 d=0.0029528 t=6133
ei 	誒	c=10 d=0.915948 t=6133
en 	嗯	c=25 d=1.27462 t=6133
er 	二	c=1 d=0.158012 t=6133
er 	兒	c=3 d=0.540652 t=6133
er 	而	c=1 d=1 t=4763
er biao duan 	二標段	c=3 d=0.0766958 t=6133
er ji 	二級	c=0 d=0.00149956 t=6133
er ji ji hua 	二級計劃	c=1 d=0.0150707 t=6133
er qie 	而且	c=1 d=1 t=4689
er wei 	二維	c=2 d=0.606531 t=6133
er yi 	而已	c=1 d=1 t=4311
er zi 	兒子	c=0 d=0.1 t=5405
er zi mei 	兒子沒	c=1 d=1 t=5406
fa 	發	c=18 d=2.92151 t=6133
fa bu 	發佈	c=2 d=1.99005 t=5554
fa bu hui 	發佈會	c=1 d=1 t=2154
fa dai 	發呆	c=1 d=1 t=4864
fa gei 	發給	c=3 d=1.00043 t=6034
fa gong zi 	發工資	c=3 d=0.916307 t=6133
fa guo 	發過	c=1 d=1 t=6063
fa ji 	髮際	c=0 d=0.1 t=5024
fa ji xian 	髮際線	c=1 d=1 t=5025
fa piao 	發票	c=3 d=2.87697 t=5929
fa song 	發送	c=1 d=0.039164 t=6133
fan 	樊	c=2 d=1.99005 t=5482
fan 	煩	c=2 d=1.00577 t=5190
fan er 	反而	c=2 d=1.36788 t=5311
fan fu 	反覆	c=1 d=1 t=4345
fan huang 	飯皇	c=1 d=1 t=2167
fan ti 	繁體	c=1 d=1 t=3759
fan xing 	反省	c=1 d=1 t=4361
fan yi 	翻譯	c=1 d=1 t=6020
fan yi cheng 	翻譯成	c=1 d=1 t=6030
fan zhe chuan 	反着穿	c=1 d=0.00660452 t=6133
fan zheng 	反正	c=4 d=0.384812 t=6133
fang 	房	c=1 d=0.00953876 t=6133
fang 	放	c=5 d=0.0075945 t=6133
fang 	防	c=1 d=0.0892752 t=6133
fang an 	方案	c=1 d=1 t=4257
fang bian 	方便	c=1 d=0.496585 t=6133
fang che hui 	防撤回	c=2 d=0.609982 t=6133
fang chu lai 	放出來	c=1 d=1 t=1928
fang da 	放大	c=1 d=1 t=2495
fang fan 	防範	c=6 d=1.42832 t=6133
fang jia 	房價	c=1 d=0.0632916 t=6133
fang jia 	放假	c=5 d=0.350549 t=6133
fang lei 	防雷	c=1 d=0.338115 t=2682
fang lei jie di 	防雷接地	c=1 d=1 t=2683
fang mian 	方面	c=2 d=0.0058809 t=6133
fang qing 	放晴	c=1 d=1 t=5103
fang ru qin 	防入侵	c=2 d=1.69073 t=2661
fang wei sui 	防尾隨	c=1 d=0.594521 t=6133
fang zai 	放在	c=1 d=1 t=3579
fang zi 	房子	c=2 d=1.98511 t=3540
fei 	飛	c=1 d=1 t=3854
fei chang bang 	非常棒	c=1 d=1 t=5338
fei ji 	飛機	c=1 d=1 t=5059
fei xing 	飛行	c=0 d=0.0290835 t=6133
fei xing cheng xu 	飛行程序	c=3 d=1.63241 t=2722
fei xing qu 	飛行區	c=8 d=2.84291 t=5497
fei xing qu 	飛行去	c=1 d=0.292293 t=6133
fen 	份	c=1 d=0.535261 t=6133
fen 	分	c=1 d=1 t=3539
